customerID;gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;TenureMonthsBinned;TotalServiceAddons;HasPaperlessElectronicPayment;AverageMonthlyChargePerTenure;Churn
CUS100095;Female;No;Yes;No;20;Yes;No phone service;Fiber optic;No;Yes;No;No internet service;No;Yes;Two year;No;Credit card (automatic);114.52;2187.21;13-24 Months;6;No;109.36;
CUS100096;Female;No;No;No;16;No;Yes;No;Yes;Yes;No;Yes;Yes;No internet service;Two year;No;Bank transfer (automatic);89.52;1324.49;13-24 Months;1;No;82.78;
CUS100097;Female;No;Yes;Yes;48;No;No phone service;DSL;No internet service;No;No internet service;Yes;Yes;No internet service;Month-to-month;No;Credit card (automatic);19.53;1030.06;25-48 Months;1;Yes;21.46;
CUS100098;Female;Yes;No;Yes;1;Yes;No phone service;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;One year;Yes;Bank transfer (automatic);34.29;34.29;0-12 Months;0;Yes;34.29;
CUS100099;Male;Yes;Yes;Yes;43;Yes;No phone service;DSL;No;No internet service;No internet service;Yes;No internet service;Yes;Month-to-month;No;Electronic check;39.05;1685.49;25-48 Months;5;Yes;39.2;
CUS100100;Male;No;Yes;No;22;Yes;Yes;No;Yes;Yes;No internet service;No internet service;No;No internet service;Two year;No;Bank transfer (automatic);45.88;1014.18;13-24 Months;5;Yes;46.1;
CUS100101;Female;Yes;Yes;No;49;No;Yes;DSL;No;No internet service;No;Yes;No;Yes;Two year;No;Credit card (automatic);36.62;1828.72;49-72 Months;1;Yes;37.32;
CUS100102;Female;No;No;No;59;Yes;No;No;No;No;No internet service;No;No;Yes;Two year;No;Credit card (automatic);57.15;3300.25;49-72 Months;6;No;55.94;
CUS100103;Female;No;No;No;8;No;Yes;No;Yes;Yes;No;No;Yes;Yes;One year;No;Mailed check;69.55;366.87;0-12 Months;3;Yes;45.86;
CUS100104;Male;No;Yes;Yes;53;No;No phone service;DSL;No;Yes;Yes;No internet service;No;No;Month-to-month;Yes;Bank transfer (automatic);27.08;1770.67;49-72 Months;5;No;33.41;
CUS100105;Female;No;Yes;Yes;48;No;No phone service;DSL;Yes;No;No internet service;Yes;Yes;No;Month-to-month;Yes;Credit card (automatic);31.22;1315.26;25-48 Months;4;No;27.4;
CUS100106;Female;No;Yes;Yes;22;Yes;Yes;Fiber optic;No internet service;No internet service;No internet service;Yes;No;No internet service;One year;Yes;Electronic check;41.41;1038.36;13-24 Months;1;Yes;47.2;
CUS100107;Female;Yes;Yes;Yes;50;No;Yes;No;No;No;No;No;Yes;No internet service;Two year;Yes;Electronic check;113.45;5737.68;49-72 Months;6;Yes;114.75;
CUS100108;Male;No;No;Yes;3;Yes;Yes;Fiber optic;No;Yes;No internet service;Yes;No internet service;Yes;One year;Yes;Electronic check;81.37;194.64;0-12 Months;6;Yes;64.88;
CUS100109;Male;Yes;No;Yes;60;No;No phone service;No;No;No;No;No internet service;No internet service;Yes;One year;No;Electronic check;28.3;1659.34;49-72 Months;6;Yes;27.66;
CUS100110;Female;Yes;Yes;Yes;70;No;Yes;No;Yes;No;Yes;Yes;No;No;One year;Yes;Credit card (automatic);99.72;6902.76;49-72 Months;3;Yes;98.61;
CUS100111;Male;No;Yes;No;16;Yes;No phone service;DSL;No internet service;No internet service;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;35.4;601.48;13-24 Months;0;Yes;37.59;
CUS100112;Male;Yes;No;No;11;No;No;No;No internet service;Yes;Yes;No;No;Yes;One year;No;Bank transfer (automatic);89.62;1076.77;0-12 Months;2;Yes;97.89;
CUS100113;Male;Yes;No;Yes;22;Yes;No phone service;DSL;No;No internet service;No;Yes;No internet service;No internet service;Two year;No;Mailed check;116.75;2529.37;13-24 Months;0;No;114.97;
CUS100114;Female;No;Yes;No;39;No;No;Fiber optic;No;No internet service;No internet service;Yes;No;No internet service;One year;Yes;Bank transfer (automatic);59.74;1974.81;25-48 Months;1;Yes;50.64;
CUS100115;Male;No;Yes;Yes;27;Yes;No phone service;DSL;Yes;No internet service;Yes;No;Yes;No internet service;Two year;No;Mailed check;19.05;352.63;25-48 Months;2;Yes;13.06;
CUS100116;Female;Yes;No;No;1;No;No phone service;Fiber optic;No;Yes;Yes;Yes;No internet service;Yes;Month-to-month;Yes;Bank transfer (automatic);57.81;57.81;0-12 Months;3;No;57.81;
CUS100117;Male;No;No;Yes;61;No;Yes;DSL;No internet service;No internet service;No internet service;Yes;Yes;Yes;Two year;Yes;Electronic check;115.22;7056.13;49-72 Months;0;Yes;115.67;
CUS100118;Female;No;Yes;No;46;No;Yes;No;Yes;No;Yes;Yes;Yes;Yes;Two year;No;Credit card (automatic);109.12;5034.94;25-48 Months;6;Yes;109.46;
CUS100119;Female;Yes;No;No;13;Yes;Yes;DSL;No internet service;No;Yes;No internet service;No internet service;Yes;Month-to-month;No;Credit card (automatic);43.03;778.95;13-24 Months;3;No;59.92;
CUS100120;Male;Yes;No;No;15;Yes;No;Fiber optic;Yes;Yes;No;No;Yes;Yes;Month-to-month;Yes;Mailed check;65.66;698.35;13-24 Months;1;No;46.56;
CUS100121;Female;Yes;Yes;Yes;16;No;No;No;Yes;Yes;No;Yes;No;No internet service;One year;Yes;Electronic check;85.4;1113.29;13-24 Months;1;Yes;69.58;
CUS100122;Male;No;No;Yes;52;No;No;Fiber optic;No;Yes;No;Yes;No internet service;No;Month-to-month;Yes;Credit card (automatic);83.23;4223.24;49-72 Months;5;No;81.22;
CUS100123;Female;Yes;Yes;Yes;25;No;No;Fiber optic;No internet service;No;No;No internet service;No;No internet service;One year;Yes;Mailed check;117.08;2993.91;25-48 Months;2;No;119.76;
CUS100124;Female;No;No;No;26;Yes;No;DSL;Yes;Yes;No internet service;No;Yes;No internet service;Two year;Yes;Bank transfer (automatic);84.87;2128.51;25-48 Months;2;Yes;81.87;
CUS100125;Male;Yes;No;No;54;Yes;No;No;Yes;No internet service;No internet service;Yes;Yes;Yes;Month-to-month;No;Bank transfer (automatic);45.26;2250.26;49-72 Months;6;No;41.67;
CUS100126;Male;No;Yes;Yes;25;No;No;Fiber optic;No internet service;Yes;No internet service;No;Yes;No internet service;Month-to-month;No;Electronic check;67.31;1730.15;25-48 Months;1;Yes;69.21;
CUS100127;Male;Yes;No;No;68;No;No phone service;Fiber optic;No;No;No internet service;No;No;Yes;Two year;No;Credit card (automatic);80.52;5835.67;49-72 Months;6;No;85.82;
CUS100128;Female;No;No;Yes;71;No;No phone service;Fiber optic;No;No internet service;No;No internet service;Yes;No internet service;Month-to-month;No;Mailed check;91.59;6236.7;49-72 Months;4;No;87.84;
CUS100129;Female;No;No;No;33;No;No phone service;Fiber optic;No internet service;No internet service;Yes;Yes;Yes;No;Month-to-month;No;Mailed check;88.39;2926.56;25-48 Months;4;No;88.68;
CUS100130;Male;No;Yes;Yes;14;Yes;Yes;DSL;No internet service;Yes;Yes;No;No;Yes;Month-to-month;No;Electronic check;62.32;757.7;13-24 Months;2;Yes;54.12;
CUS100131;Female;No;Yes;Yes;7;No;Yes;No;Yes;Yes;No internet service;No internet service;No;No internet service;Month-to-month;Yes;Bank transfer (automatic);78.15;650.93;0-12 Months;0;No;92.99;
CUS100132;Male;No;No;No;22;Yes;No;Fiber optic;Yes;Yes;No internet service;No;No;No internet service;Two year;Yes;Bank transfer (automatic);103.41;2641.95;13-24 Months;1;No;120.09;
CUS100133;Female;Yes;Yes;Yes;64;No;No;DSL;No internet service;Yes;Yes;Yes;No internet service;No;One year;Yes;Bank transfer (automatic);57.93;3843.69;49-72 Months;2;Yes;60.06;
CUS100134;Female;Yes;Yes;Yes;35;Yes;No phone service;Fiber optic;No;Yes;No internet service;No;Yes;No internet service;Two year;No;Electronic check;82.44;3011.3;25-48 Months;1;Yes;86.04;
CUS100135;Male;Yes;Yes;No;26;No;No phone service;Fiber optic;No;Yes;Yes;No;No;Yes;Two year;No;Electronic check;102.18;2582.68;25-48 Months;5;Yes;99.33;
CUS100136;Female;No;No;Yes;63;No;Yes;No;Yes;No;Yes;No;Yes;No;One year;No;Credit card (automatic);34.64;2387.75;49-72 Months;2;No;37.9;
CUS100137;Female;Yes;Yes;Yes;49;No;No;Fiber optic;No internet service;No internet service;Yes;No;No internet service;Yes;Month-to-month;No;Mailed check;83.45;4225.71;49-72 Months;6;Yes;86.24;
CUS100138;Female;Yes;Yes;Yes;51;No;No phone service;DSL;No;No;No;No;No internet service;No internet service;One year;No;Electronic check;33.97;1666.15;49-72 Months;0;Yes;32.67;
CUS100139;Female;Yes;Yes;Yes;36;No;Yes;No;Yes;No internet service;No;Yes;No internet service;Yes;One year;Yes;Credit card (automatic);73.07;2280.49;25-48 Months;3;No;63.35;
CUS100140;Female;No;Yes;No;4;No;Yes;No;No;No internet service;No internet service;No;No internet service;Yes;One year;No;Credit card (automatic);25.15;310.93;0-12 Months;2;No;77.73;
CUS100141;Male;No;No;No;55;No;No phone service;Fiber optic;Yes;No;No internet service;No internet service;Yes;Yes;Month-to-month;No;Credit card (automatic);69.51;3443.81;49-72 Months;0;Yes;62.61;
CUS100142;Female;Yes;No;No;54;Yes;No;DSL;No;No;No internet service;No;No;Yes;Month-to-month;Yes;Credit card (automatic);64.09;3382.61;49-72 Months;5;Yes;62.64;
CUS100143;Female;Yes;No;No;21;Yes;No;DSL;No internet service;No;Yes;No internet service;Yes;Yes;One year;No;Bank transfer (automatic);46.4;905.96;13-24 Months;6;Yes;43.14;
