"customerID";"gender";"SeniorCitizen";"Partner";"Dependents";"tenure";"PhoneService";"MultipleLines";"InternetService";"OnlineSecurity";"OnlineBackup";"DeviceProtection";"TechSupport";"StreamingTV";"StreamingMovies";"Contract";"PaperlessBilling";"PaymentMethod";"MonthlyCharges";"TotalCharges";"Churn";"TenureMonthsBinned";"TotalServiceAddons";"HasPaperlessElectronicPayment";"AverageMonthlyChargePerTenure"
"0030-FNXPP";"Female";"No";"No";"No";3;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Month-to-month";"No";"Mailed check";19.85;57.2;"No";"0-12 Months";0;"No";19.066667
"0031-PVLZI";"Female";"No";"Yes";"Yes";4;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Month-to-month";"No";"Mailed check";20.35;76.35;"Yes";"0-12 Months";0;"No";19.0875
"0032-PGELS";"Female";"No";"Yes";"Yes";1;"No";"No phone service";"DSL";"Yes";"No";"No";"No";"No";"No";"Month-to-month";"No";"Bank transfer (automatic)";30.5;30.5;"Yes";"0-12 Months";1;"No";30.5
"0036-IHMOT";"Female";"No";"Yes";"Yes";55;"Yes";"No";"Fiber optic";"No";"Yes";"Yes";"Yes";"Yes";"Yes";"One year";"Yes";"Bank transfer (automatic)";103.7;5656.75;"No";"49-72 Months";5;"No";102.85
"0040-HALCW";"Male";"No";"Yes";"Yes";54;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Two year";"No";"Credit card (automatic)";20.4;1090.6;"No";"49-72 Months";0;"No";20.196296
"0042-JVWOJ";"Male";"No";"No";"No";26;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"One year";"Yes";"Bank transfer (automatic)";19.6;471.85;"No";"25-48 Months";0;"No";18.148077
"0042-RLHYP";"Female";"No";"Yes";"Yes";69;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Two year";"No";"Bank transfer (automatic)";19.7;1396.9;"No";"49-72 Months";0;"No";20.244928
"0048-LUMLS";"Male";"No";"Yes";"Yes";37;"Yes";"No";"Fiber optic";"No";"No";"No";"No";"Yes";"Yes";"One year";"No";"Credit card (automatic)";91.2;3247.55;"No";"25-48 Months";2;"No";87.771622
"0048-PIHNL";"Female";"No";"Yes";"No";49;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"One year";"No";"Bank transfer (automatic)";20.45;900.9;"No";"49-72 Months";0;"No";18.385714
"0052-DCKON";"Male";"No";"Yes";"No";66;"Yes";"Yes";"Fiber optic";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"One year";"No";"Bank transfer (automatic)";115.8;7942.15;"No";"49-72 Months";6;"No";120.335606
"0052-YNYOT";"Female";"No";"No";"No";67;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"One year";"No";"Electronic check";20.55;1343.4;"No";"49-72 Months";0;"No";20.050746
"0056-EPFBG";"Male";"No";"Yes";"Yes";20;"No";"No phone service";"DSL";"Yes";"No";"Yes";"Yes";"No";"No";"Two year";"Yes";"Credit card (automatic)";39.4;825.4;"No";"13-24 Months";3;"No";41.27
"0057-QBUQH";"Female";"No";"No";"Yes";43;"Yes";"Yes";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Two year";"Yes";"Electronic check";25.1;1070.15;"No";"25-48 Months";0;"Yes";24.887209
"0058-EVZWM";"Female";"No";"Yes";"No";55;"Yes";"Yes";"Fiber optic";"Yes";"No";"No";"No";"Yes";"No";"Month-to-month";"Yes";"Bank transfer (automatic)";89.8;4959.6;"No";"49-72 Months";2;"No";90.174545
"0060-FUALY";"Female";"No";"Yes";"No";59;"Yes";"Yes";"Fiber optic";"Yes";"Yes";"No";"No";"Yes";"No";"Month-to-month";"Yes";"Electronic check";94.75;5597.65;"No";"49-72 Months";3;"Yes";94.875424
"0064-SUDOG";"Female";"No";"Yes";"Yes";12;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Two year";"No";"Bank transfer (automatic)";20.3;224.5;"No";"0-12 Months";0;"No";18.708333
"0064-YIJGF";"Male";"No";"Yes";"Yes";27;"Yes";"Yes";"Fiber optic";"No";"No";"No";"No";"No";"No";"Month-to-month";"Yes";"Bank transfer (automatic)";75.75;1929.0;"No";"25-48 Months";0;"No";71.444444
"0067-DKWBL";"Male";"Yes";"No";"No";2;"Yes";"No";"DSL";"Yes";"No";"No";"No";"No";"No";"Month-to-month";"Yes";"Electronic check";49.25;91.1;"Yes";"0-12 Months";1;"Yes";45.55
"0068-FIGTF";"Female";"No";"No";"No";27;"Yes";"No";"DSL";"No";"Yes";"Yes";"Yes";"Yes";"Yes";"One year";"No";"Mailed check";78.2;2078.95;"No";"25-48 Months";5;"No";76.998148
"0071-NDAFP";"Male";"No";"Yes";"Yes";25;"Yes";"Yes";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Two year";"No";"Credit card (automatic)";25.5;630.6;"No";"25-48 Months";0;"No";25.224
"0074-HDKDG";"Male";"No";"Yes";"Yes";25;"Yes";"No";"DSL";"Yes";"Yes";"Yes";"No";"No";"No";"One year";"Yes";"Bank transfer (automatic)";61.6;1611.0;"No";"25-48 Months";3;"No";64.44
"0076-LVEPS";"Male";"No";"No";"Yes";29;"No";"No phone service";"DSL";"Yes";"Yes";"Yes";"Yes";"No";"No";"Month-to-month";"Yes";"Mailed check";45.0;1242.45;"No";"25-48 Months";4;"No";42.843103
"0078-XZMHT";"Male";"No";"Yes";"No";72;"Yes";"Yes";"DSL";"No";"Yes";"Yes";"Yes";"Yes";"Yes";"Two year";"Yes";"Bank transfer (automatic)";85.15;6316.2;"No";"49-72 Months";5;"No";87.725
"0080-EMYVY";"Female";"No";"No";"No";14;"Yes";"No";"DSL";"No";"Yes";"No";"No";"No";"No";"One year";"No";"Credit card (automatic)";51.45;727.85;"No";"13-24 Months";1;"No";51.989286
"0080-OROZO";"Female";"No";"No";"No";35;"Yes";"No";"Fiber optic";"No";"No";"Yes";"Yes";"Yes";"Yes";"One year";"Yes";"Electronic check";99.25;3532.0;"No";"25-48 Months";4;"Yes";100.914286
"0082-LDZUE";"Male";"No";"No";"No";1;"Yes";"No";"DSL";"No";"No";"No";"No";"No";"No";"Month-to-month";"Yes";"Mailed check";44.3;44.3;"No";"0-12 Months";0;"No";44.3
"0082-OQIQY";"Male";"No";"No";"No";29;"Yes";"No";"Fiber optic";"No";"No";"No";"Yes";"Yes";"Yes";"Month-to-month";"Yes";"Electronic check";94.2;2607.6;"No";"25-48 Months";3;"Yes";89.917241
"0083-PIVIK";"Male";"No";"No";"No";64;"Yes";"Yes";"DSL";"Yes";"Yes";"Yes";"Yes";"Yes";"No";"One year";"No";"Electronic check";81.25;5567.55;"No";"49-72 Months";5;"No";86.992969
"0089-IIQKO";"Female";"No";"Yes";"Yes";39;"Yes";"Yes";"Fiber optic";"No";"No";"No";"Yes";"Yes";"Yes";"Month-to-month";"Yes";"Credit card (automatic)";99.95;3767.4;"No";"25-48 Months";3;"No";96.6
"0093-EXYQL";"Female";"Yes";"No";"No";40;"Yes";"No";"Fiber optic";"No";"No";"No";"No";"Yes";"Yes";"Month-to-month";"Yes";"Electronic check";91.55;3673.6;"No";"25-48 Months";2;"Yes";91.84
"0093-XWZFY";"Male";"No";"No";"No";40;"Yes";"Yes";"Fiber optic";"No";"Yes";"Yes";"No";"Yes";"Yes";"Month-to-month";"Yes";"Credit card (automatic)";104.5;4036.85;"Yes";"25-48 Months";4;"No";100.92125
"0094-OIFMO";"Female";"Yes";"No";"No";11;"Yes";"No";"Fiber optic";"No";"Yes";"No";"No";"Yes";"Yes";"Month-to-month";"Yes";"Electronic check";95.0;1120.3;"Yes";"0-12 Months";3;"Yes";101.845455
"0096-BXERS";"Female";"No";"Yes";"No";6;"Yes";"Yes";"DSL";"No";"No";"No";"No";"No";"No";"Month-to-month";"No";"Electronic check";50.35;314.55;"No";"0-12 Months";0;"No";52.425
"0096-FCPUF";"Male";"No";"No";"No";30;"Yes";"Yes";"DSL";"Yes";"No";"No";"No";"No";"Yes";"Month-to-month";"Yes";"Mailed check";64.5;1888.45;"No";"25-48 Months";2;"No";62.948333
"0098-BOWSO";"Male";"No";"No";"No";27;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Month-to-month";"Yes";"Electronic check";19.4;529.8;"No";"25-48 Months";0;"Yes";19.622222
"0100-DUVFC";"Male";"Yes";"Yes";"No";70;"Yes";"Yes";"Fiber optic";"No";"Yes";"Yes";"No";"Yes";"Yes";"One year";"Yes";"Electronic check";104.8;7308.95;"No";"49-72 Months";4;"Yes";104.413571
"0103-CSITQ";"Female";"No";"Yes";"No";57;"Yes";"Yes";"Fiber optic";"No";"Yes";"Yes";"Yes";"Yes";"Yes";"One year";"Yes";"Bank transfer (automatic)";109.4;6252.7;"No";"49-72 Months";5;"No";109.696491
"0104-PPXDV";"Male";"No";"Yes";"No";58;"Yes";"No";"DSL";"No";"No";"Yes";"No";"No";"No";"One year";"No";"Credit card (automatic)";50.3;2878.55;"No";"49-72 Months";1;"No";49.630172
"0106-GHRQR";"Male";"No";"No";"No";16;"Yes";"Yes";"DSL";"No";"Yes";"Yes";"No";"No";"Yes";"Month-to-month";"Yes";"Bank transfer (automatic)";71.4;1212.1;"No";"13-24 Months";3;"No";75.75625
"0106-UGRDO";"Female";"No";"Yes";"No";69;"Yes";"Yes";"Fiber optic";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Two year";"Yes";"Electronic check";116.0;8182.85;"No";"49-72 Months";6;"Yes";118.592029
"0107-WESLM";"Male";"No";"No";"No";1;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Month-to-month";"Yes";"Electronic check";19.85;19.85;"Yes";"0-12 Months";0;"Yes";19.85
"0107-YHINA";"Male";"No";"No";"Yes";1;"Yes";"Yes";"Fiber optic";"No";"No";"Yes";"No";"Yes";"Yes";"Month-to-month";"Yes";"Electronic check";99.75;99.75;"Yes";"0-12 Months";3;"Yes";99.75
"0111-KLBQG";"Male";"Yes";"Yes";"Yes";32;"Yes";"No";"Fiber optic";"No";"Yes";"No";"No";"Yes";"Yes";"Month-to-month";"Yes";"Mailed check";93.95;2861.45;"No";"25-48 Months";3;"No";89.420313
"0112-QAWRZ";"Male";"No";"Yes";"Yes";16;"Yes";"Yes";"Fiber optic";"No";"No";"Yes";"No";"Yes";"No";"Month-to-month";"Yes";"Bank transfer (automatic)";90.8;1442.2;"No";"13-24 Months";2;"No";90.1375
"0112-QWPNC";"Male";"No";"Yes";"No";49;"Yes";"Yes";"DSL";"Yes";"No";"Yes";"Yes";"Yes";"Yes";"One year";"No";"Electronic check";84.35;4059.35;"Yes";"49-72 Months";5;"No";82.843878
"0114-IGABW";"Female";"No";"Yes";"No";71;"No";"No phone service";"DSL";"No";"Yes";"Yes";"Yes";"Yes";"Yes";"Two year";"No";"Bank transfer (automatic)";58.25;4145.9;"No";"49-72 Months";5;"No";58.392958
"0114-PEGZZ";"Female";"No";"No";"No";33;"Yes";"Yes";"Fiber optic";"No";"Yes";"Yes";"No";"Yes";"Yes";"Month-to-month";"No";"Electronic check";107.55;3645.5;"No";"25-48 Months";4;"No";110.469697
"0114-RSRRW";"Female";"No";"Yes";"No";10;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Month-to-month";"Yes";"Bank transfer (automatic)";19.95;187.75;"No";"0-12 Months";0;"No";18.775
"0115-TFERT";"Male";"No";"Yes";"No";21;"Yes";"Yes";"Fiber optic";"No";"Yes";"Yes";"Yes";"Yes";"Yes";"Month-to-month";"Yes";"Electronic check";111.2;2317.1;"Yes";"13-24 Months";5;"Yes";110.338095
"0117-LFRMW";"Male";"No";"Yes";"Yes";37;"No";"No phone service";"DSL";"Yes";"Yes";"Yes";"No";"No";"No";"Month-to-month";"No";"Bank transfer (automatic)";40.2;1448.8;"Yes";"25-48 Months";3;"No";39.156757
"0118-JPNOY";"Female";"Yes";"No";"No";26;"Yes";"No";"Fiber optic";"Yes";"No";"No";"No";"Yes";"No";"Month-to-month";"Yes";"Credit card (automatic)";85.8;2193.65;"No";"25-48 Months";2;"No";84.371154
"0121-SNYRK";"Male";"No";"No";"No";50;"No";"No phone service";"DSL";"Yes";"No";"No";"Yes";"No";"No";"One year";"Yes";"Mailed check";35.4;1748.9;"No";"49-72 Months";2;"No";34.978
"0122-OAHPZ";"Female";"No";"No";"No";7;"Yes";"Yes";"Fiber optic";"No";"No";"No";"No";"No";"No";"Month-to-month";"Yes";"Electronic check";73.85;511.25;"Yes";"0-12 Months";0;"Yes";73.035714
"0123-CRBRT";"Female";"No";"Yes";"Yes";61;"Yes";"Yes";"DSL";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Two year";"No";"Mailed check";88.1;5526.75;"No";"49-72 Months";6;"No";90.602459
"0125-LZQXK";"Male";"No";"No";"No";15;"Yes";"No";"Fiber optic";"No";"No";"Yes";"Yes";"Yes";"Yes";"Month-to-month";"Yes";"Electronic check";101.35;1553.95;"Yes";"13-24 Months";4;"Yes";103.596667
"0128-MKWSG";"Female";"No";"No";"Yes";26;"No";"No phone service";"DSL";"Yes";"No";"No";"Yes";"No";"Yes";"Month-to-month";"No";"Mailed check";45.8;1147.0;"No";"25-48 Months";3;"No";44.115385
"0129-KPTWJ";"Male";"No";"Yes";"No";72;"Yes";"No";"Fiber optic";"No";"No";"Yes";"No";"Yes";"Yes";"Month-to-month";"Yes";"Electronic check";94.65;6747.35;"No";"49-72 Months";3;"Yes";93.713194
"0129-QMPDR";"Male";"No";"Yes";"Yes";44;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"One year";"Yes";"Bank transfer (automatic)";20.5;865.05;"No";"25-48 Months";0;"No";19.660227
"0130-SXOUN";"Male";"No";"No";"No";66;"Yes";"Yes";"Fiber optic";"No";"Yes";"No";"No";"No";"Yes";"Month-to-month";"No";"Credit card (automatic)";89.4;5976.9;"No";"49-72 Months";2;"No";90.559091
"0133-BMFZO";"Female";"No";"No";"No";2;"Yes";"No";"Fiber optic";"Yes";"Yes";"No";"Yes";"No";"No";"Month-to-month";"Yes";"Electronic check";86.25;181.65;"Yes";"0-12 Months";3;"Yes";90.825
"0134-XWXCE";"Female";"Yes";"No";"No";44;"Yes";"No";"DSL";"No";"No";"Yes";"Yes";"Yes";"Yes";"One year";"No";"Bank transfer (automatic)";74.85;3268.05;"No";"25-48 Months";4;"No";74.273864
"0135-NMXAP";"Female";"No";"No";"No";12;"Yes";"Yes";"Fiber optic";"No";"Yes";"No";"No";"Yes";"No";"Month-to-month";"Yes";"Bank transfer (automatic)";89.75;1052.4;"Yes";"0-12 Months";2;"No";87.7
"0136-IFMYD";"Male";"Yes";"Yes";"No";69;"Yes";"Yes";"Fiber optic";"No";"Yes";"Yes";"Yes";"Yes";"Yes";"Two year";"Yes";"Electronic check";109.95;7634.25;"No";"49-72 Months";5;"Yes";110.641304
"0137-OCGAB";"Female";"No";"No";"No";1;"Yes";"Yes";"Fiber optic";"No";"Yes";"No";"No";"No";"No";"Month-to-month";"Yes";"Mailed check";80.2;80.2;"Yes";"0-12 Months";1;"No";80.2
"0137-UDEUO";"Female";"No";"No";"No";3;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Month-to-month";"No";"Mailed check";19.85;63.75;"Yes";"0-12 Months";0;"No";21.25
"0139-IVFJG";"Female";"No";"Yes";"No";2;"Yes";"No";"Fiber optic";"Yes";"Yes";"No";"No";"Yes";"No";"Month-to-month";"No";"Electronic check";90.35;190.5;"No";"0-12 Months";3;"No";95.25
"0141-YEAYS";"Female";"Yes";"No";"No";27;"Yes";"Yes";"Fiber optic";"No";"Yes";"Yes";"No";"No";"No";"Month-to-month";"Yes";"Bank transfer (automatic)";86.45;2401.05;"No";"25-48 Months";2;"No";88.927778
"0142-GVYSN";"Male";"No";"No";"No";26;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Month-to-month";"Yes";"Electronic check";20.3;511.25;"No";"25-48 Months";0;"Yes";19.663462
"0147-ESWWR";"Female";"Yes";"Yes";"No";39;"Yes";"Yes";"Fiber optic";"No";"No";"No";"Yes";"Yes";"Yes";"Month-to-month";"Yes";"Electronic check";101.25;3949.15;"No";"25-48 Months";3;"Yes";101.260256
"0148-DCDOS";"Male";"No";"No";"No";25;"Yes";"Yes";"Fiber optic";"No";"No";"No";"No";"Yes";"Yes";"Month-to-month";"Yes";"Bank transfer (automatic)";94.7;2362.1;"Yes";"25-48 Months";2;"No";94.484
"0151-ONTOV";"Female";"No";"No";"No";1;"Yes";"No";"Fiber optic";"No";"No";"No";"No";"No";"No";"Month-to-month";"No";"Mailed check";70.9;70.9;"Yes";"0-12 Months";0;"No";70.9
"0156-FVPTA";"Male";"No";"Yes";"No";22;"Yes";"No";"DSL";"Yes";"No";"No";"Yes";"No";"No";"Month-to-month";"Yes";"Electronic check";54.2;1152.7;"Yes";"13-24 Months";2;"Yes";52.395455
"0164-APGRB";"Female";"No";"No";"No";72;"Yes";"Yes";"Fiber optic";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Two year";"Yes";"Electronic check";114.9;8496.7;"No";"49-72 Months";6;"Yes";118.009722
"0164-XAIRP";"Female";"No";"No";"No";24;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Two year";"Yes";"Bank transfer (automatic)";19.55;470.2;"No";"13-24 Months";0;"No";19.591667
"0168-XZKBB";"Female";"No";"Yes";"No";19;"Yes";"Yes";"Fiber optic";"No";"No";"No";"No";"Yes";"No";"Month-to-month";"Yes";"Electronic check";86.85;1564.4;"No";"13-24 Months";1;"Yes";82.336842
"0174-QRVVY";"Male";"No";"Yes";"Yes";71;"Yes";"Yes";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Two year";"No";"Credit card (automatic)";25.35;1847.55;"No";"49-72 Months";0;"No";26.021831
"0177-PXBAT";"Male";"Yes";"Yes";"No";33;"Yes";"Yes";"Fiber optic";"Yes";"No";"Yes";"Yes";"Yes";"Yes";"Month-to-month";"Yes";"Bank transfer (automatic)";109.9;3694.7;"No";"25-48 Months";5;"No";111.960606
"0178-CIIKR";"Female";"No";"No";"No";3;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Month-to-month";"No";"Mailed check";19.95;58.0;"No";"0-12 Months";0;"No";19.333333
"0178-SZBHO";"Male";"No";"Yes";"Yes";47;"Yes";"Yes";"Fiber optic";"No";"Yes";"No";"No";"Yes";"No";"Month-to-month";"No";"Electronic check";87.2;4017.45;"No";"25-48 Months";2;"No";85.47766
"0181-RITDD";"Male";"No";"Yes";"Yes";62;"Yes";"No";"Fiber optic";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Two year";"No";"Mailed check";108.15;6825.65;"No";"49-72 Months";6;"No";110.091129
"0186-CAERR";"Male";"No";"No";"No";71;"Yes";"Yes";"Fiber optic";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"One year";"Yes";"Bank transfer (automatic)";116.3;8309.55;"No";"49-72 Months";6;"No";117.035915
"0187-QSXOE";"Male";"Yes";"Yes";"No";7;"Yes";"No";"Fiber optic";"No";"No";"No";"No";"Yes";"Yes";"Month-to-month";"Yes";"Electronic check";89.0;605.45;"No";"0-12 Months";2;"Yes";86.492857
"0187-WZNAB";"Female";"No";"Yes";"Yes";27;"Yes";"No";"Fiber optic";"Yes";"No";"No";"No";"No";"No";"Month-to-month";"No";"Mailed check";74.4;1972.35;"No";"25-48 Months";1;"No";73.05
"0188-GWFLE";"Male";"No";"No";"No";2;"Yes";"No";"No";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"No internet service";"Month-to-month";"No";"Mailed check";20.05;33.7;"No";"0-12 Months";0;"No";16.85
"0191-EQUUH";"Female";"No";"No";"Yes";25;"No";"No phone service";"DSL";"Yes";"No";"No";"Yes";"No";"No";"Two year";"No";"Bank transfer (automatic)";35.05;844.45;"No";"25-48 Months";2;"No";33.778
"0191-ZHSKZ";"Male";"Yes";"No";"No";30;"Yes";"No";"DSL";"Yes";"Yes";"No";"No";"Yes";"Yes";"Month-to-month";"Yes";"Electronic check";74.75;2111.3;"No";"25-48 Months";4;"Yes";70.376667
"0193-ESZXP";"Female";"Yes";"Yes";"No";58;"Yes";"No";"Fiber optic";"Yes";"Yes";"No";"Yes";"Yes";"Yes";"One year";"Yes";"Credit card (automatic)";105.5;6205.5;"Yes";"49-72 Months";5;"No";106.991379
"0195-IESCP";"Male";"No";"Yes";"No";10;"Yes";"Yes";"Fiber optic";"No";"No";"No";"No";"No";"Yes";"Month-to-month";"Yes";"Electronic check";85.25;855.3;"Yes";"0-12 Months";1;"Yes";85.53
"0196-JTUQI";"Female";"No";"No";"No";9;"Yes";"Yes";"Fiber optic";"No";"No";"No";"No";"No";"No";"Month-to-month";"Yes";"Credit card (automatic)";75.2;633.85;"No";"0-12 Months";0;"No";70.427778
"0196-VULGZ";"Female";"Yes";"Yes";"No";6;"Yes";"Yes";"Fiber optic";"No";"No";"No";"No";"No";"Yes";"Month-to-month";"Yes";"Electronic check";84.35;474.9;"Yes";"0-12 Months";1;"Yes";79.15
"0197-PNKNK";"Female";"No";"Yes";"Yes";69;"Yes";"Yes";"Fiber optic";"Yes";"No";"Yes";"No";"No";"No";"One year";"No";"Bank transfer (automatic)";84.45;5848.6;"No";"49-72 Months";2;"No";84.762319
